analysis_id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bathrooms,amenities,price,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,review_scores_communication
7715,Venustiano Carranza,19.4373260,-99.0843050,Private room in home,Private room,3,1.00,2.00,1.00,"[""Laundromat nearby"", ""Self check-in"", ""Dining table"", ""Outdoor dining area"", ""Room-darkening shades"", ""Dedicated workspace"", ""Wifi"", ""Trash compactor"", ""Hot water"", ""Refrigerator"", ""Books and reading material"", ""Microwave"", ""Portable fans"", ""Building staff"", ""Body soap"", ""Kitchen"", ""Stove"", ""Paid parking on premises"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Washer"", ""Iron"", ""Shower gel"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Freezer"", ""Smoking allowed"", ""Exterior security cameras on property"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Fire extinguisher"", ""Backyard"", ""Pets allowed""]",764.00,24.00,18336.00,4.14,4.07,4.71,4.29,4.50
7716,Cuauhtémoc,19.4264500,-99.1597300,Entire rental unit,Entire home/apt,6,2.00,7.00,2.00,"[""Self check-in"", ""Heating"", ""Outdoor dining area"", ""Hot water"", ""Body soap"", ""Kitchen"", ""Lockbox"", ""Free parking on premises"", ""Cleaning products"", ""Paid parking on premises"", ""TV"", ""Shampoo"", ""Washer"", ""Iron"", ""Fast wifi \u2013 234 Mbps"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Dishes and silverware"", ""Cooking basics"", ""Conditioner"", ""Dryer"", ""Pets allowed""]",1042.00,66.00,68772.00,4.82,4.72,4.93,4.80,4.91
7717,Miguel Hidalgo,19.4315511,-99.1819886,Entire rental unit,Entire home/apt,2,1.00,1.00,1.00,"[""Washer"", ""Iron"", ""Refrigerator"", ""Kitchen"", ""Coffee maker"", ""Backyard"", ""Dishes and silverware"", ""Wifi"", ""Dedicated workspace"", ""Smoke alarm"", ""Fire extinguisher"", ""TV"", ""Carbon monoxide alarm"", ""Crib"", ""Dryer""]",1615.00,144.00,232560.00,4.70,4.73,4.94,4.68,4.79
7718,Miguel Hidalgo,19.4320200,-99.1899100,Private room in condo,Private room,2,1.00,1.00,1.00,"[""Self check-in"", ""Heating"", ""Smart lock"", ""Room-darkening shades"", ""Dedicated workspace"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Body soap"", ""TV"", ""Shampoo"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Essentials"", ""Clothing storage: closet"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Portable air conditioning"", ""Coffee maker""]",1139.00,36.00,41004.00,4.89,4.91,4.98,4.91,4.98
7719,Venustiano Carranza,19.4373260,-99.0843050,Private room in home,Private room,3,1.00,2.00,1.00,"[""Laundromat nearby"", ""Self check-in"", ""Dining table"", ""Outdoor dining area"", ""Room-darkening shades"", ""Dedicated workspace"", ""Wifi"", ""Trash compactor"", ""Hot water"", ""Refrigerator"", ""Books and reading material"", ""Microwave"", ""Portable fans"", ""Building staff"", ""Body soap"", ""Kitchen"", ""Stove"", ""Paid parking on premises"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Washer"", ""Iron"", ""Shower gel"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Freezer"", ""Smoking allowed"", ""Exterior security cameras on property"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Fire extinguisher"", ""Backyard"", ""Pets allowed""]",606.00,24.00,14544.00,4.36,4.45,4.73,4.36,4.55
7720,Miguel Hidalgo,19.4322700,-99.1813800,Entire rental unit,Entire home/apt,2,1.00,1.00,1.00,"[""Washer"", ""Iron"", ""Refrigerator"", ""Kitchen"", ""Coffee maker"", ""Backyard"", ""Dishes and silverware"", ""Wifi"", ""Dedicated workspace"", ""Smoke alarm"", ""Fire extinguisher"", ""TV"", ""Patio or balcony"", ""Carbon monoxide alarm""]",1615.00,84.00,135660.00,4.82,4.93,4.98,4.75,4.98
7721,Cuauhtémoc,19.4313300,-99.1651500,Entire vacation home,Entire home/apt,4,2.00,2.00,1.00,"[""Self check-in"", ""Outdoor dining area"", ""Elevator"", ""Patio or balcony"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Paid parking off premises"", ""Building staff"", ""Kitchen"", ""Stove"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Oven"", ""Shampoo"", ""Washer"", ""Iron"", ""Single level home"", ""BBQ grill"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Carbon monoxide alarm"", ""Crib"", ""Ethernet connection"", ""TV with standard cable"", ""Exterior security cameras on property"", ""Hair dryer"", ""Coffee maker"", ""Gym"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Fire extinguisher"", ""Dryer""]",1309.00,255.00,333795.00,4.92,4.91,4.89,4.90,4.92
7722,Venustiano Carranza,19.4373260,-99.0843050,Private room in home,Private room,2,1.00,1.00,1.00,"[""Laundromat nearby"", ""Self check-in"", ""Dining table"", ""Outdoor dining area"", ""Room-darkening shades"", ""Dedicated workspace"", ""Wifi"", ""Trash compactor"", ""Hot water"", ""Refrigerator"", ""Books and reading material"", ""Microwave"", ""Portable fans"", ""Building staff"", ""Body soap"", ""Kitchen"", ""Stove"", ""Cleaning products"", ""Paid parking on premises"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Washer"", ""Iron"", ""Shower gel"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Freezer"", ""Smoking allowed"", ""Exterior security cameras on property"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Fire extinguisher"", ""Backyard"", ""Pets allowed""]",691.00,0.00,0.00,4.00,4.00,4.71,4.00,4.00
7723,Venustiano Carranza,19.4373260,-99.0843050,Private room in home,Private room,2,1.00,1.00,0.00,"[""Laundromat nearby"", ""Self check-in"", ""Dining table"", ""Outdoor dining area"", ""Room-darkening shades"", ""Dedicated workspace"", ""Wifi"", ""Trash compactor"", ""Hot water"", ""Refrigerator"", ""Books and reading material"", ""Microwave"", ""Portable fans"", ""Building staff"", ""Body soap"", ""Kitchen"", ""Stove"", ""Paid parking on premises"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Washer"", ""Iron"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Freezer"", ""Smoking allowed"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Fire extinguisher"", ""Backyard"", ""Pets allowed""]",606.00,18.00,10908.00,4.38,4.41,4.59,4.44,4.68
7724,Venustiano Carranza,19.4373260,-99.0843050,Private room in home,Private room,2,1.00,1.00,1.50,"[""Laundromat nearby"", ""Self check-in"", ""Dining table"", ""Outdoor dining area"", ""Room-darkening shades"", ""Dedicated workspace"", ""Wifi"", ""Trash compactor"", ""Hot water"", ""Refrigerator"", ""Books and reading material"", ""Microwave"", ""Portable fans"", ""Building staff"", ""Body soap"", ""Kitchen"", ""Stove"", ""Cleaning products"", ""Paid parking on premises"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Washer"", ""Iron"", ""Shower gel"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Freezer"", ""Smoking allowed"", ""Exterior security cameras on property"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Fire extinguisher"", ""Backyard"", ""Pets allowed""]",606.00,18.00,10908.00,4.63,4.50,4.50,4.38,4.75
7725,Cuajimalpa de Morelos,19.3625984,-99.2932551,Private room in home,Private room,1,1.00,1.00,1.00,"[""Laundromat nearby"", ""Dining table"", ""Room-darkening shades"", ""Dedicated workspace"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Kitchen"", ""Stove"", ""Extra pillows and blankets"", ""Oven"", ""Washer"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Freezer"", ""Smoking allowed"", ""Blender"", ""Dishes and silverware"", ""Cooking basics""]",182.00,6.00,1092.00,5.00,5.00,5.00,4.90,4.90
7726,Venustiano Carranza,19.4373260,-99.0843050,Private room in home,Private room,1,1.00,1.00,1.50,"[""Laundromat nearby"", ""Self check-in"", ""Dining table"", ""Outdoor dining area"", ""Room-darkening shades"", ""Dedicated workspace"", ""Trash compactor"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Portable fans"", ""Building staff"", ""Body soap"", ""Kitchen"", ""Stove"", ""Paid parking on premises"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Oven"", ""Washer"", ""Iron"", ""Wifi \u2013 3 Mbps"", ""Shower gel"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Freezer"", ""Smoking allowed"", ""Exterior security cameras on property"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Fire extinguisher"", ""Backyard"", ""Pets allowed""]",691.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
7727,Venustiano Carranza,19.4373260,-99.0843050,Private room in home,Private room,2,1.00,1.00,1.00,"[""Laundromat nearby"", ""Self check-in"", ""Dining table"", ""Outdoor dining area"", ""Room-darkening shades"", ""Dedicated workspace"", ""Wifi"", ""Trash compactor"", ""Hot water"", ""Refrigerator"", ""Books and reading material"", ""Microwave"", ""Portable fans"", ""Building staff"", ""Body soap"", ""Kitchen"", ""Stove"", ""Paid parking on premises"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Washer"", ""Iron"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Freezer"", ""Smoking allowed"", ""Exterior security cameras on property"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Fire extinguisher"", ""Backyard"", ""Pets allowed""]",606.00,120.00,72720.00,4.62,4.73,4.96,4.62,4.77
7728,Venustiano Carranza,19.4373260,-99.0843050,Private room in home,Private room,6,1.00,2.00,1.00,"[""Laundromat nearby"", ""Self check-in"", ""Dining table"", ""Outdoor dining area"", ""Room-darkening shades"", ""Dedicated workspace"", ""Wifi"", ""Trash compactor"", ""Hot water"", ""Refrigerator"", ""Books and reading material"", ""Microwave"", ""Portable fans"", ""Building staff"", ""Body soap"", ""Kitchen"", ""Stove"", ""Paid parking on premises"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Washer"", ""Iron"", ""Shower gel"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Freezer"", ""Smoking allowed"", ""Exterior security cameras on property"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Fire extinguisher"", ""Backyard"", ""Pets allowed""]",606.00,6.00,3636.00,3.57,3.93,4.21,3.93,3.86
7729,Miguel Hidalgo,19.4327800,-99.1863400,Entire rental unit,Entire home/apt,4,2.00,3.00,1.50,"[""Courtyard view"", ""Laundromat nearby"", ""Dining table"", ""Self check-in"", ""Room-darkening shades"", ""Elevator"", ""Dedicated workspace"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Body soap"", ""Kitchen"", ""Lockbox"", ""TV"", ""Oven"", ""Shampoo"", ""Electric stove"", ""Wine glasses"", ""Iron"", ""Single level home"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Crib"", ""Freezer"", ""Toaster"", ""Hair dryer"", ""Free dryer \u2013 In unit"", ""Free residential garage on premises \u2013 1 space"", ""Coffee maker"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics""]",1071.00,255.00,273105.00,4.78,4.61,4.97,4.77,4.91
7730,Cuauhtémoc,19.4313000,-99.1651400,Entire guest suite,Entire home/apt,1,1.00,1.00,1.00,"[""HDTV with Netflix"", ""Private entrance"", ""Laundromat nearby"", ""Dining table"", ""Room-darkening shades"", ""Coffee maker: drip coffee maker, french press"", ""Elevator"", ""Dedicated workspace"", ""Wifi"", ""Induction stove"", ""Hot water"", ""Mosquito net"", ""Books and reading material"", ""Refrigerator"", ""Microwave"", ""Fire extinguisher"", ""Body soap"", ""Kitchen"", ""Cleaning products"", ""Extra pillows and blankets"", ""Portable heater"", ""Bluetooth sound system"", ""Paid street parking off premises"", ""Shampoo"", ""Wine glasses"", ""Shower gel"", ""Clothing storage"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Toaster"", ""Freezer"", ""Hair dryer"", ""Outdoor shower"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Portable fans"", ""Mini fridge"", ""Conditioner""]",595.00,216.00,128520.00,4.90,4.90,4.99,4.84,4.96
7731,Cuauhtémoc,19.4233380,-99.1711200,Entire condo,Entire home/apt,2,1.00,1.00,1.00,"[""Laundromat nearby"", ""Self check-in"", ""Dining table"", ""Room-darkening shades"", ""Elevator"", ""Dedicated workspace"", ""Private patio or balcony"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Books and reading material"", ""Microwave"", ""Coffee maker: drip coffee maker"", ""Body soap"", ""Kitchen"", ""Stove"", ""Drying rack for clothing"", ""Cleaning products"", ""Lockbox"", ""Extra pillows and blankets"", ""TV"", ""Luggage dropoff allowed"", ""Oven"", ""Paid street parking off premises"", ""Shampoo"", ""Wine glasses"", ""Iron"", ""Shower gel"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Toaster"", ""Freezer"", ""Smoking allowed"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Dishes and silverware"", ""Cooking basics"", ""Clothing storage: closet and dresser"", ""Portable fans""]",915.00,255.00,233325.00,4.77,4.75,4.91,4.75,4.93
7732,Miguel Hidalgo,19.4342400,-99.1744100,Private room in home,Private room,2,1.00,1.00,1.00,"[""Fast wifi \u2013 355 Mbps"", ""Private entrance"", ""Dining table"", ""Laundromat nearby"", ""Room-darkening shades"", ""Dedicated workspace"", ""Safe"", ""Hot water"", ""Mosquito net"", ""Refrigerator"", ""Microwave"", ""Paid parking off premises"", ""Body soap"", ""Kitchen"", ""Stove"", ""Cleaning products"", ""Oven"", ""Iron"", ""BBQ grill"", ""Clothing storage"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Coffee maker: pour-over coffee"", ""Freezer"", ""Toaster"", ""Smoking allowed"", ""Exterior security cameras on property"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Cooking basics"", ""Shared patio or balcony"", ""Fire extinguisher"", ""Mini fridge"", ""Backyard"", ""Dryer""]",475.00,96.00,45600.00,4.77,4.77,4.88,4.77,4.69
7733,Miguel Hidalgo,19.4086113,-99.1881943,Entire condo,Entire home/apt,7,3.00,4.00,2.00,"[""Laundromat nearby"", ""Self check-in"", ""Dining table"", ""Smart lock"", ""Room-darkening shades"", ""Caprice shampoo"", ""General Electric refrigerator"", ""Dedicated workspace"", ""Wifi"", ""Hot water"", ""Stainless steel gas stove"", ""Portable fans"", ""Coffee maker: drip coffee maker"", ""Kitchen"", ""102 inch HDTV with Chromecast, standard cable"", ""Drying rack for clothing"", ""Cleaning products"", ""Extra pillows and blankets"", ""Free street parking"", ""Oven"", ""Children\u2019s dinnerware"", ""Wine glasses"", ""Iron"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Clothing storage: closet"", ""Greenfrog body soap"", ""Carbon monoxide alarm"", ""Ethernet connection"", ""Freezer"", ""Toaster"", ""Hair dryer"", ""Free residential garage on premises \u2013 1 space"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Fire extinguisher"", ""Pets allowed""]",1280.00,60.00,76800.00,4.73,4.82,4.84,4.63,4.85
7734,Miguel Hidalgo,19.4298400,-99.1882600,Entire loft,Entire home/apt,4,2.00,3.00,3.00,"[""Clothing storage: walk-in closet"", ""Baking sheet"", ""Self check-in"", ""City skyline view"", ""Dining table"", ""Bikes"", ""Smart lock"", ""Room-darkening shades"", ""Dedicated workspace"", ""Private patio or balcony"", ""Wifi"", ""Hot water"", ""Microwave"", ""Books and reading material"", ""Private backyard \u2013 Fully fenced"", ""Dishwasher"", ""Body soap"", ""Kitchen"", ""Stove"", ""Drying rack for clothing"", ""Cleaning products"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Bluetooth sound system"", ""Oven"", ""Shampoo"", ""Children\u2019s dinnerware"", ""Wine glasses"", ""Iron"", ""HDTV with Netflix, Apple TV, Amazon Prime Video, premium cable"", ""BBQ grill"", ""Children\u2019s books and toys for ages 2-5 years old and 5-10 years old"", ""Coffee maker: Nespresso"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Toaster"", ""Freezer"", ""Paid parking garage on premises"", ""Exterior security cameras on property"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Free dryer \u2013 In unit"", ""Free washer \u2013 In unit"", ""Barbecue utensils"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Subzero refrigerator"", ""Mini fridge"", ""Conditioner""]",12786.00,48.00,613728.00,5.00,5.00,5.00,5.00,5.00
7735,Iztapalapa,19.3852550,-99.0317808,Entire home,Entire home/apt,6,3.00,4.00,2.00,"[""Self check-in"", ""Dining table"", ""HDTV with Chromecast"", ""Wifi"", ""Hot water"", ""Microwave"", ""Refrigerator"", ""Books and reading material"", ""Kitchen"", ""Lockbox"", ""Cleaning products"", ""Extra pillows and blankets"", ""Iron"", ""Coffee"", ""Essentials"", ""Long term stays allowed"", ""Smoking allowed"", ""Blender"", ""Other gas stove"", ""Dishes and silverware"", ""Cooking basics"", ""Free carport on premises \u2013 1 space"", ""Pets allowed""]",990.00,162.00,160380.00,4.63,4.37,4.85,4.67,4.74
7736,Miguel Hidalgo,19.4323026,-99.1781032,Private room in townhouse,Private room,2,1.00,1.00,1.00,"[""Self check-in"", ""Room-darkening shades"", ""Dedicated workspace"", ""Wifi"", ""Hot water"", ""Building staff"", ""Body soap"", ""TV"", ""Shampoo"", ""Iron"", ""Clothing storage"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Hair dryer"", ""Portable fans"", ""Conditioner""]",1347.00,6.00,8082.00,4.52,4.38,4.81,4.57,4.76
7737,Miguel Hidalgo,19.4416122,-99.1959381,Entire condo,Entire home/apt,4,1.00,2.00,1.00,"[""Self check-in"", ""City skyline view"", ""Heating"", ""Dining table"", ""Outdoor dining area"", ""Room-darkening shades"", ""Keypad"", ""Shared backyard \u2013 Fully fenced"", ""Elevator"", ""Dedicated workspace"", ""Private patio or balcony"", ""Wifi"", ""Window guards"", ""Hot water"", ""Safe"", ""Children\u2019s books and toys"", ""Refrigerator"", ""Microwave"", ""Fire extinguisher"", ""Coffee maker: drip coffee maker"", ""Body soap"", ""Outdoor kitchen"", ""Kitchen"", ""Stove"", ""Drying rack for clothing"", ""Cleaning products"", ""Free parking on premises"", ""Cleaning available during stay"", ""Fire pit"", ""Theme room"", ""Extra pillows and blankets"", ""TV"", ""Exercise equipment"", ""Free street parking"", ""Luggage dropoff allowed"", ""Children's playroom"", ""Oven"", ""Shampoo"", ""Wine glasses"", ""Iron"", ""Shared gym in building"", ""Single level home"", ""BBQ grill"", ""Shower gel"", ""Clothing storage"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Bidet"", ""Smoke alarm"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Crib"", ""Freezer"", ""Toaster"", ""Skate ramp"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Cooking basics"", ""Pool table"", ""Outdoor playground"", ""Batting cage"", ""Ping pong table"", ""Free dryer""]",1249.00,96.00,119904.00,4.65,4.75,4.83,4.73,4.77
7738,Coyoacán,19.3428300,-99.1254300,Private room in home,Private room,2,1.00,1.00,1.50,"[""Central air conditioning"", ""Private hot tub"", ""Bikes"", ""Room-darkening shades"", ""Dedicated workspace"", ""Hot water"", ""Safe"", ""Microwave"", ""Fire extinguisher"", ""Dishwasher"", ""Kitchen"", ""Drying rack for clothing"", ""Cleaning products"", ""Board games"", ""Free parking on premises"", ""Cleaning available during stay"", ""Extra pillows and blankets"", ""Exercise equipment"", ""Portable heater"", ""Fast wifi \u2013 273 Mbps"", ""Bluetooth sound system"", ""Paid parking lot off premises"", ""Oven"", ""Shampoo"", ""Wine glasses"", ""Iron"", ""Private gym"", ""Bathtub"", ""Bed linens"", ""HDTV with Disney+, Apple TV, Amazon Prime Video, HBO Max, Netflix"", ""Essentials"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Toaster"", ""Freezer"", ""Smoking allowed"", ""Exterior security cameras on property"", ""Hot water kettle"", ""Hair dryer"", ""Free dryer \u2013 In unit"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Shared patio or balcony"", ""Portable fans"", ""Conditioner"", ""Clothing storage: walk-in closet and closet""]",4143.00,0.00,0.00,5.00,5.00,5.00,5.00,5.00
7739,Azcapotzalco,19.4654800,-99.1715100,Private room in rental unit,Private room,2,1.00,1.00,1.00,"[""Private entrance"", ""Laundromat nearby"", ""Dining table"", ""Stainless steel oven"", ""Room-darkening shades"", ""Dedicated workspace"", ""Wifi"", ""Window guards"", ""Hot water"", ""Mosquito net"", ""Refrigerator"", ""Microwave"", ""Body soap"", ""Kitchen"", ""Host greets you"", ""Park view"", ""Extra pillows and blankets"", ""TV"", ""Free street parking"", ""Stainless steel stove"", ""Shampoo"", ""Iron"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Lock on bedroom door"", ""Toaster"", ""Freezer"", ""Exterior security cameras on property"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Shared patio or balcony""]",405.00,48.00,19440.00,4.13,4.38,4.81,4.31,4.38
7740,Cuauhtémoc,19.4291670,-99.1593320,Entire condo,Entire home/apt,4,2.00,2.00,2.00,"[""HDTV with Netflix"", ""Whirlpool refrigerator"", ""Laundromat nearby"", ""Self check-in"", ""Dining table"", ""Room-darkening shades"", ""Keypad"", ""Elevator"", ""Teka stainless steel gas stove"", ""Dedicated workspace"", ""Coffee maker: drip coffee maker, espresso machine"", ""Private patio or balcony"", ""Hot water"", ""Safe"", ""Books and reading material"", ""Microwave"", ""Portable fans"", ""Fire extinguisher"", ""Body soap"", ""Kitchen"", ""Cleaning products"", ""Cleaning available during stay"", ""Extra pillows and blankets"", ""Portable heater"", ""Paid street parking off premises"", ""Shampoo"", ""Wine glasses"", ""Iron"", ""Single level home"", ""Shower gel"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Toaster"", ""Freezer"", ""Teka  stainless steel oven"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Free dryer \u2013 In unit"", ""Free washer \u2013 In unit"", ""Fast wifi \u2013 269 Mbps"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""BOS\u00c9  Bluetooth sound system"", ""Conditioner""]",1723.00,192.00,330816.00,4.90,4.99,4.93,4.91,4.93
7741,Cuauhtémoc,19.4240900,-99.1713500,Room in aparthotel,Private room,2,0.00,1.00,1.00,"[""Exterior security cameras on property"", ""Shared pool"", ""Washer"", ""Self check-in"", ""Building staff"", ""Kitchen"", ""Coffee maker"", ""BBQ grill"", ""Outdoor dining area"", ""Free parking on premises"", ""Wifi"", ""Dedicated workspace"", ""Fire extinguisher"", ""TV"", ""Exercise equipment"", ""Refrigerator"", ""Shared hot tub""]",1199.00,0.00,0.00,4.68,4.88,4.96,4.76,4.56
7742,Cuauhtémoc,19.4254700,-99.1717500,Room in hotel,Private room,2,0.00,1.00,1.00,"[""Exterior security cameras on property"", ""Shared pool"", ""Washer"", ""Self check-in"", ""Building staff"", ""Kitchen"", ""BBQ grill"", ""Outdoor dining area"", ""Free parking on premises"", ""Wifi"", ""Dedicated workspace"", ""Patio or balcony"", ""Fire extinguisher"", ""TV"", ""Exercise equipment"", ""Refrigerator"", ""Shared hot tub""]",1199.00,0.00,0.00,4.64,4.88,5.00,4.64,4.39
7743,Cuauhtémoc,19.4240800,-99.1697300,Room in hotel,Private room,2,0.00,1.00,1.00,"[""Shared pool"", ""Shared hot tub"", ""Washer"", ""Self check-in"", ""Building staff"", ""Kitchen"", ""Coffee maker"", ""BBQ grill"", ""Outdoor dining area"", ""Free parking on premises"", ""Wifi"", ""TV"", ""Exercise equipment"", ""Refrigerator"", ""Fire extinguisher""]",1199.00,0.00,0.00,4.69,4.96,4.96,4.69,4.46
7744,Benito Juárez,19.3629100,-99.1575400,Entire rental unit,Entire home/apt,4,2.00,2.00,2.00,"[""Refrigerator"", ""Clothing storage: closet"", ""Kitchen"", ""Dishes and silverware"", ""Stove"", ""Cleaning products"", ""Microwave"", ""Cooking basics"", ""Bed linens"", ""Free parking on premises"", ""Wifi"", ""Dedicated workspace"", ""Essentials"", ""TV"", ""Hot water"", ""Carbon monoxide alarm""]",986.00,192.00,189312.00,4.89,4.89,4.88,4.84,4.87
