analysis_id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bathrooms,amenities,price,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,review_scores_communication
21,Cuauhtémoc,19.4267500,-99.1613000,Entire rental unit,Entire home/apt,2,1.00,2.00,1.00,"[""Self check-in"", ""Elevator"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Portable fans"", ""Building staff"", ""Kitchen"", ""Stove"", ""Shampoo"", ""Iron"", ""Smoke alarm"", ""Essentials"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Exterior security cameras on property"", ""Hair dryer"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Fire extinguisher"", ""Dryer""]",853.00,255.00,217515.00,4.47,4.67,4.87,4.48,4.73
22,Cuauhtémoc,19.4089100,-99.1608300,Private room in rental unit,Private room,2,1.00,1.00,1.50,"[""Washer"", ""Kitchen"", ""Wifi"", ""Dryer"", ""TV with standard cable""]",625.00,0.00,0.00,4.75,4.20,4.80,4.60,4.60
23,Cuauhtémoc,19.4389800,-99.1614200,Entire rental unit,Entire home/apt,2,1.00,2.00,1.00,"[""Laundromat nearby"", ""Self check-in"", ""Dining table"", ""Room-darkening shades"", ""Keypad"", ""Dedicated workspace"", ""Hot water"", ""Safe"", ""Microwave"", ""Coffee maker: drip coffee maker"", ""DISA HOME induction stove"", ""Body soap"", ""Kitchen"", ""Drying rack for clothing"", ""Cleaning products"", ""Free street parking"", ""Portable heater"", ""Luggage dropoff allowed"", ""Paid street parking off premises"", ""Wine glasses"", ""Iron"", ""Clothing storage"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Daewo refrigerator"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Toaster"", ""TV with standard cable"", ""Exterior security cameras on property"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Dishes and silverware"", ""Pantene shampoo"", ""Cooking basics"", ""Fast wifi \u2013 56 Mbps"", ""Portable fans"", ""Pets allowed""]",1275.00,0.00,0.00,4.94,4.88,4.91,4.91,4.97
24,Cuauhtémoc,19.4188700,-99.1733300,Entire rental unit,Entire home/apt,4,2.00,3.00,1.00,"[""Pack \u2019n play/Travel crib"", ""Private entrance"", ""Laundromat nearby"", ""Doe shampoo"", ""Dining table"", ""Self check-in"", ""Teka stainless steel gas stove"", ""Dedicated workspace"", ""Private patio or balcony"", ""Wifi"", ""Artesanal body soap"", ""Hot water"", ""Children\u2019s books and toys"", ""Books and reading material"", ""Refrigerator"", ""Private backyard \u2013 Fully fenced"", ""Paid parking off premises"", ""Kitchen"", ""Lockbox"", ""Drying rack for clothing"", ""Cleaning products"", ""Free parking on premises"", ""Cleaning available during stay"", ""Extra pillows and blankets"", ""Portable heater"", ""Oven"", ""Wine glasses"", ""Iron"", ""Shower gel"", ""Bathtub"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Crib"", ""Ethernet connection"", ""Indoor fireplace: wood-burning"", ""Freezer"", ""Exterior security cameras on property"", ""Blender"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""Cooking basics"", ""Portable fans"", ""Doe conditioner"", ""Pets allowed""]",2479.00,255.00,632145.00,4.90,4.94,4.97,4.84,4.84
25,Cuauhtémoc,19.4559500,-99.1594400,Private room in rental unit,Private room,1,1.00,1.00,1.00,"[""Oven"", ""Exterior security cameras on property"", ""Free street parking"", ""Washer"", ""Iron"", ""Kitchen"", ""Coffee maker"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Microwave"", ""Cooking basics"", ""Wifi"", ""Essentials"", ""Hot water"", ""Refrigerator""]",212.00,0.00,0.00,4.89,4.79,4.73,4.88,4.89
26,Cuauhtémoc,19.4336100,-99.1451500,Entire condo,Entire home/apt,4,2.00,2.00,2.00,"[""Central air conditioning"", ""Heating"", ""Noise decibel monitors on property"", ""Elevator"", ""Private patio or balcony"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Paid parking off premises"", ""Kitchen"", ""Stove"", ""Free parking on premises"", ""Host greets you"", ""Extra pillows and blankets"", ""TV with Netflix"", ""Oven"", ""Shampoo"", ""Washer"", ""Iron"", ""Shower gel"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Ethernet connection"", ""Smoking allowed"", ""Exterior security cameras on property"", ""Hair dryer"", ""Portable air conditioning"", ""Coffee maker"", ""Dishes and silverware"", ""Cooking basics"", ""Dryer""]",1295.00,204.00,264180.00,4.69,4.70,4.87,4.72,4.69
27,Benito Juárez,19.3602000,-99.1415800,Private room in casa particular,Private room,1,3.00,1.00,1.00,"[""Kitchen"", ""Smoking allowed"", ""Washer"", ""Wifi""]",450.00,72.00,32400.00,4.50,4.26,4.85,4.62,4.88
28,Miguel Hidalgo,19.4428921,-99.2013855,Private room in rental unit,Private room,2,1.00,1.00,1.00,"[""Fast wifi \u2013 55 Mbps"", ""Laundromat nearby"", ""Self check-in"", ""Dining table"", ""Noise decibel monitors on property"", ""Shared sauna"", ""Elevator"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Books and reading material"", ""Microwave"", ""Free parking garage on premises"", ""Kitchen"", ""Lockbox"", ""Board games"", ""Cleaning products"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Oven"", ""Shampoo"", ""Wine glasses"", ""Iron"", ""Shared gym in building"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Outdoor furniture"", ""Clothing storage: closet"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Toaster"", ""TV with standard cable"", ""Exterior security cameras on property"", ""Blender"", ""Hair dryer"", ""Free dryer \u2013 In unit"", ""Exercise equipment: elliptical, free weights, stationary bike, treadmill, yoga mat"", ""Coffee maker"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Cooking basics"", ""Pool table"", ""Mabe gas stove""]",838.00,54.00,45252.00,4.84,4.69,4.99,4.80,4.93
29,Gustavo A. Madero,19.4832100,-99.1124100,Private room in rental unit,Private room,2,1.00,1.00,1.00,"[""Shampoo"", ""Hair dryer"", ""Iron"", ""Heating"", ""Kitchen"", ""Free parking on premises"", ""First aid kit"", ""Hangers"", ""Wifi"", ""Essentials"", ""Breakfast""]",368.00,0.00,0.00,4.83,4.83,4.50,4.67,4.83
30,Xochimilco,19.2654100,-99.1136500,Entire home,Entire home/apt,5,3.00,4.00,1.00,"[""Oven"", ""Self check-in"", ""Dining table"", ""Kitchen"", ""Essentials"", ""Free washer \u2013 In unit"", ""Stove"", ""Free parking on premises"", ""Cooking basics"", ""Lockbox"", ""Mabe refrigerator"", ""Patio or balcony"", ""Wifi"", ""TV"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Pets allowed""]",510.00,84.00,42840.00,4.75,4.25,4.50,4.50,4.75
